cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
OLIVA|OLIVA|SERIEG|BELICOSO|BELICOSO|6x52|CAM|BOX25,Belicoso,https://www.smokeinn.com/oliva-serie-g/oliva-serie-g-belicoso-cameroon.html,Oliva,Serie G,Cameroon,Belicoso,6x52,25,178.95,True,$152.11 [15% off]|SI15
OLIVA|OLIVA|SERIEG|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|CAM|BOX25,Double Robusto,https://www.smokeinn.com/oliva-serie-g/oliva-serie-g-double-robusto-cameroon.html,Oliva,Serie G,Cameroon,Double Robusto,5x54,25,215.95,True,$183.56 [15% off]|SI15
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,Hyde Park,https://www.smokeinn.com/macanaudo-cafe/mac-natural-hyde-park.html,Macanudo,Cafe,Connecticut Shade,Hyde Park,5.5x49,25,215.95,True,$183.56 [15% off]|SI15
MACANUDO|MACANUDO|CAFE|HAMPTONCOURT|HAMPTONCOURT|5.25x42|CT|BOX25,Hampton Court,https://www.smokeinn.com/macanaudo-cafe/mac-natural-hamp-court.html,Macanudo,Cafe,Connecticut Shade,Hampton Court,5.25x42,25,204.95,True,$174.21 [15% off]|SI15
MACANUDO|MACANUDO|CAFE|PORTOFINO|PORTOFINO|7x34|CT|BOX25,Portofino,https://www.smokeinn.com/macanaudo-cafe/mac-natural-portofino.html,Macanudo,Cafe,Connecticut Shade,Portofino,7x34,25,220.95,True,$187.81 [15% off]|SI15
MACANUDO|MACANUDO|CAFE|BARONDEROTHSCHILD|BARONDEROTHSCHILD|6.5x42|CT|BOX25,Baron de Rothschild,https://www.smokeinn.com/macanaudo-cafe/mac-natural-barron-de-rothchild.html,Macanudo,Cafe,Connecticut Shade,Baron de Rothschild,6.5x42,25,217.95,True,$185.26 [15% off]|SI15
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|ROBUSTO|ROBUSTO|5x50|HON|BOX20,Robusto,https://www.smokeinn.com/rocky-patel-vintage/vintage-1990-robusto-maduro.html,Rocky Patel,Vintage 1990,Honduran Broadleaf,Robusto,5x50,20,204.95,True,$174.21 [15% off]|SI15
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORO|TORO|6x52|HON|BOX20,Toro,https://www.smokeinn.com/rocky-patel-vintage/vintage-1990-toro-maduro.html,Rocky Patel,Vintage 1990,Honduran Broadleaf,Toro,6x52,20,215.95,True,$183.56 [15% off]|SI15
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|CHURCHILL|CHURCHILL|7x48|HON|BOX20,Churchill,https://www.smokeinn.com/rocky-patel-vintage/vintage-1990-churchill-maduro.html,Rocky Patel,Vintage 1990,Honduran Broadleaf,Churchill,7x48,20,215.95,True,$183.56 [15% off]|SI15
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|ROBUSTO|ROBUSTO|5x50|ECU|BOX20,Robusto,https://www.smokeinn.com/rocky-patel-vintage/vintage-1992-robusto-sumatra.html,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Robusto,5x50,20,204.95,True,$174.21 [15% off]|SI15
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|TORO|TORO|6x52|ECU|BOX20,Toro,https://www.smokeinn.com/rocky-patel-vintage/vintage-1992-toro-sumatra.html,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Toro,6x52,20,215.95,True,$183.56 [15% off]|SI15
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|CHURCHILL|CHURCHILL|7x48|ECU|BOX20,Churchill,https://www.smokeinn.com/rocky-patel-vintage/vintage-1992-churchill-sumatra.html,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Churchill,7x48,20,215.95,True,$183.56 [15% off]|SI15
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CT|BOX24,V554 Camshaft,https://www.smokeinn.com/CAO-Flathead-V554-Camshaft.html,CAO,Flathead,Connecticut Broadleaf,V554 Camshaft,5.5x54,24,196.95,True,$167.41 [15% off]|SI15
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,V660 Carb,https://www.smokeinn.com/CAO-Flathead-V660-Carb.html,CAO,Flathead,Connecticut Broadleaf,V660 Carb,6x60,24,210.95,True,$179.31 [15% off]|SI15
CAO|CAO|FLATHEAD|V450SPARKPLUG|V450SPARKPLUG|4.5x50|CT|BOX24,V450 Sparkplug,https://www.smokeinn.com/CAO-Flathead-V450-Sparkplug.html,CAO,Flathead,Connecticut Broadleaf,V450 Sparkplug,4.5x50,24,177.95,True,$151.26 [15% off]|SI15
CROWNEDHEADS|JERICHOHILL|JERICHOHILL|OBS|OBS|4.75x52|MAD|BOX24,OBS,https://www.smokeinn.com/Crowned-Heads-Jericho-Hill-OBS.html,Crowned Heads,Jericho Hill,Maduro,OBS,4.75x52,24,216.95,True,
