title,url,brand,line,size,box_qty,price,in_stock
"Caldwell Collection - Eastern Standard Euro Express (5.5"""" x 44)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcaldwell%2Fcaldwell-collection---eastern-standard%2FCW1-PM.html,Caldwell,"""Caldwell Collection - Eastern Standard Euro Express","5.5"" x 44",20,254.99,False
"Drew Estate Undercrown Maduro Gordito (6.0"""" x 60)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-maduro%2FLPE-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Maduro Gordito","6.0"" x 60",20,255.99,True
"Illusione Epernay Serie 2009 Le Grande - Corona Gorda (6.0"""" x 46)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fillusione%2Fillusione-epernay-serie-2009%2FIL9-PM.html,Illusione,"""Illusione Epernay Serie 2009 Le Grande","6.0"" x 46",20,255.99,False
"Illusione Original Documents Prominente (7.5"""" x 40)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fillusione%2Fillusione-original-documents%2FIL1-PM.html,Illusione,"""Illusione Original Documents Prominente","7.5"" x 40",20,256.99,False
"Macanudo Cafe Gigante (6.0"""" x 60)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmacanudo%2Fmacanudo-cafe%2FMA1-PM.html,Macanudo,"""Macanudo Cafe Gigante","6.0"" x 60",20,256.99,True
"Highclere Castle Corona  (5.5"""" x 46)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Ffoundation-cigar-company%2Fhighclere-castle-edwardian%2FFCH-PM.html,Highclere Castle,"""Highclere Castle","5.5"" x 46",20,257.99,False
"Room101 FARCE Maduro Toro (6.0"""" x 52)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froom101-cigars%2Ffarce-maduro%2FRMC-PM.html,Room101,"""Room101 FARCE Maduro","6.0"" x 52",20,257.99,True
"Caldwell Collection - Long Live The King The Heater (5.7"""" x 46)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcaldwell%2Fcaldwell-collection---long-live-the-king%2FCW3-PM.html,Caldwell,"""Caldwell Collection - Long Live The King The Heater","5.7"" x 46",20,257.99,False
"Viaje Skull and Bones M?stery (2020) (5.2"""" x 56)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Ffeatured-categories%2Flimited-edition%2Fviaje-skull-and-bones%2FVJH-PM-1052.html,Viaje,"""Viaje Skull and Bones M?stery (2020)","5.2"" x 56",20,258.0,False
"Undercrown 10 by Drew Estate Londsdale Factory Floor Edition (6.0"""" x 46)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fdrew-estate-cigars%2Fundercrown-10-by-drew-estate%2FU10-PM-1014.html,Undercrown by Drew Estate,"""Undercrown 10 by Drew Estate Londsdale Factory Floor Edition","6.0"" x 46",20,258.4,False
