cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.5|PERFECXIONNO.5|4.875x40|DOM|BOX42,,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-perfecxion-no-5?variant=19712416448609
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,,https://www.cigarsdirect.com/products/drew-estate-liga-privada-no-9-robusto
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|CORONAVIVA|CORONAVIVA|6x46|CON|BOX24,,https://www.cigarsdirect.com/products/drew-estate-liga-privada-no-9-corona-viva?variant=31082627563617
MONTECRISTO|MONTECRISTO|1935ANNIVERSARYNICARAGUA|DEMI|DEMI|5x50|NIC|BOX20,,MONTECRISTO|MONTECRISTO|1935ANNIVERSARYNICARAGUA|DEMI|DEMI|5x50|NIC|BOX20
OLIVA|OLIVA|SERIEV|ROBUSTO|ROBUSTO|5x54|ECU|BOX24,,https://www.cigarsdirect.com/products/oliva-serie-v-double-robusto?variant=19713301905505
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,,https://www.cigarsdirect.com/products/oliva-serie-v-torpedo?variant=19713302888545
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|ROBUSTO|ROBUSTO|5x50|HON|BOX20,,https://www.cigarsdirect.com/products/rocky-patel-vintage-1990-robusto?variant=31119441723489
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORO|TORO|6x52|HON|BOX20,,https://www.cigarsdirect.com/products/rocky-patel-vintage-1990-toro?variant=31119441592417
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORPEDO|TORPEDO|6.5x52|HON|BOX20,,https://www.cigarsdirect.com/products/rocky-patel-vintage-1990-torpedo?variant=31119441395809
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|CHURCHILL|CHURCHILL|7x48|HON|BOX20,,https://www.cigarsdirect.com/products/rocky-patel-vintage-1990-churchill?variant=31119441952865
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|ROBUSTO|ROBUSTO|5x50|ECU|BOX20,,https://www.cigarsdirect.com/products/rocky-patel-vintage-1992-robusto?variant=31119441264737
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|TORO|TORO|6x52|ECU|BOX20,,https://www.cigarsdirect.com/products/rocky-patel-vintage-1992-toro?variant=31119441199201
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|TORPEDO|TORPEDO|6.5x52|ECU|BOX20,,https://www.cigarsdirect.com/products/rocky-patel-vintage-1992-torpedo?variant=31119441133665
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|CHURCHILL|CHURCHILL|7x48|ECU|BOX20,,https://www.cigarsdirect.com/products/rocky-patel-vintage-1992-churchill?variant=31119441363041
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,,https://www.cigarsdirect.com/products/macanudo-cafe-hyde-park?variant=19713664417889
MACANUDO|MACANUDO|CAFE|BARONDEROTHSCHILD|BARONDEROTHSCHILD|6.5x42|CT|BOX25,,https://www.cigarsdirect.com/products/macanudo-cafe-baron-de-rothschild?variant=19713662156897
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CT|BOX24,,https://www.cigarsdirect.com/products/cao-flathead-v554-camshaft?variant=31775352684641
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,,https://www.cigarsdirect.com/products/cao-flathead-v660-carb?variant=31775352881249
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24,,https://www.cigarsdirect.com/products/cao-flathead-v770-big-block?variant=31775353012321
CAO|CAO|FLATHEAD|V450SPARKPLUG|V450SPARKPLUG|4.5x50|CT|BOX24,,https://www.cigarsdirect.com/products/cao-flathead-v450-sparkplug?variant=31775352389729
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONAVIVA|CORONAVIVA|5.625x46|SAN|BOX25,,https://www.cigarsdirect.com/products/drew-estate-undercrown-maduro-corona-viva?variant=31119100772449
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,,https://www.cigarsdirect.com/products/drew-estate-undercrown-maduro-robusto?variant=31119097790561
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,,https://www.cigarsdirect.com/products/drew-estate-undercrown-maduro-gran-toro?variant=31119098970209
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GORDITO|GORDITO|6x60|SAN|BOX25,,https://www.cigarsdirect.com/products/drew-estate-undercrown-maduro-gordito?variant=31119100051553
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,,https://www.cigarsdirect.com/products/oliva-serie-g-cameroon-robusto?variant=42934048293041
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,,https://www.cigarsdirect.com/products/oliva-serie-g-cameroon-toro?variant=19713298432097
