cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.bnbtobacco.com/products/romeo-y-julieta-1875?variant=33403331075,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,209.99,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,,https://www.bnbtobacco.com/products/liga-privada-no-9?variant=12226941616229
OLIVA|OLIVA|SERIEV|ROBUSTO|ROBUSTO|5x54|ECU|BOX24
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5.5x54|ECU|BOX24,,https://www.bnbtobacco.com/products/oliva-serie-v-natural?variant=33403256259
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,,https://www.bnbtobacco.com/products/oliva-serie-v-natural?variant=33403256899
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,,https://www.bnbtobacco.com/products/oliva-serie-v-natural?variant=33403256515
OLIVA|OLIVA|SERIEV|CHURCHILLEXTRA|CHURCHILLEXTRA|7x48|ECU|BOX24,https://www.bnbtobacco.com/products/oliva-serie-v-natural?variant=40146522636485
OLIVA|OLIVA|SERIEV|DOUBLETORO|DOUBLETORO|6x60|ECU|BOX24,,https://www.bnbtobacco.com/products/oliva-serie-v-natural?variant=40146613534917
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|ROBUSTO|ROBUSTO|5x50|HON|BOX20,,https://www.bnbtobacco.com/products/rocky-patel-1990-vintage?variant=33403304963
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORO|TORO|6x52|HON|BOX20,,https://www.bnbtobacco.com/products/rocky-patel-1990-vintage?variant=33403305411
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,,https://www.bnbtobacco.com/products/macanudo-cafe?variant=33403201219
MACANUDO|MACANUDO|CAFE|HAMPTONCOURT|HAMPTONCOURT|5.25x42|CT|BOX25
MACANUDO|MACANUDO|CAFE|PORTOFINO|PORTOFINO|7x34|CT|BOX25,,https://www.bnbtobacco.com/products/macanudo-cafe?variant=33403201859
MACANUDO|MACANUDO|CAFE|DUKEOFDEVON|DUKEOFDEVON|5.5x42|CT|BOX25
MACANUDO|MACANUDO|CAFE|BARONDEROTHSCHILD|BARONDEROTHSCHILD|6.5x42|CT|BOX25,,https://www.bnbtobacco.com/products/macanudo-cafe?variant=33403198851
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,,https://www.bnbtobacco.com/products/cao-flathead?variant=30103086723
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,,https://www.bnbtobacco.com/products/liga-undercrown?variant=33403192835
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,,https://www.bnbtobacco.com/products/liga-undercrown?variant=33403192515
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GORDITO|GORDITO|6x60|SAN|BOX25,,https://www.bnbtobacco.com/products/liga-undercrown?variant=33403192195
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,,https://www.bnbtobacco.com/products/oliva-serie-g-natural?variant=33403245571
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,,https://www.bnbtobacco.com/products/oliva-serie-g-natural?variant=33403245891
OLIVA|OLIVA|SERIEG|CHURCHILL|CHURCHILL|7x48|CAM|BOX25,,https://www.bnbtobacco.com/products/oliva-serie-g-natural?variant=33403245379
OLIVA|OLIVA|SERIEG|BELICOSO|BELICOSO|6x52|CAM|BOX25
OLIVA|OLIVA|SERIEG|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|CAM|BOX25,,https://www.bnbtobacco.com/products/oliva-serie-g-natural?variant=33403245443

