cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.bighumidor.com/index.cfm?ref=80200&ref2=363,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,183.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=662
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3472
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2714
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=660
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1903
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1100
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=838
ASHTON|ASHTON|VSG|ECLIPSE|ECLIPSE|6.75x50|ECU|BOX24
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1942
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=643
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=703
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.4|PERFECXIONNO.4|5.1875x43|DOM|BOX42,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=7081
