title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Oliva Connecticut Reserve - Pack of 10,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-connecticut-reserve-double-toro-pack-of-10%2F2050550%2F%23p-2050549,Oliva,Connecticut Reserve,Connecticut Shade,Churchill,7.0 x 48.0,20,115.99,True
Oliva Serie V Melanio Robusto Maduro - Box of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-serie-v-melanio-robusto-maduro%2F90920%2F%23p-2009801,Oliva,Serie V Melanio,Ecuadorian Sumatra,Robusto,5.0 x 52.0,10,117.99,True
Alec Bradley Prensado Robusto Corojo - Pack of 10,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-prensado-robusto-corojo%2F77709%2F%23p-187413,Alec Bradley,Prensado,Honduran Corojo,Robusto,5.0 x 50.0,20,118.99,True
Ashton Classic 8-9-8 Connecticut - Pack of 10,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-classic-8-9-8-lonsdale-connecticut%2F66871%2F%23p-140339,Ashton,Classic,Connecticut Shade,Cordial,5.0 x 30.0,10,119.99,True
Rocky Patel Decade Robusto Sumatra 10 Pack - Pack of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-decade-robusto-sumatra-10-pack%2F91791%2F%23p-184803,Rocky Patel,Decade,Ecuadorian Sumatra,Robusto,5.0 x 50.0,20,123.99,True
Romeo By Romeo y Julieta Toro Habano 10 Pack - Pack of 10,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-by-romeo-y-julieta-toro-habano-10-pack%2F98960%2F%23p-192380,Romeo y Julieta,Romeo by Romeo y Julieta,Ecuador Habano,Toro,6.0 x 52.0,25,123.99,True
Oliva Serie V Melanio Torpedo Maduro - Box of 10,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-serie-v-melanio-torpedo-maduro-box-of-10%2F2048001%2F%23p-183461,Oliva,Serie V Melanio,Ecuadorian Sumatra,Torpedo,6.5 x 52.0,10,125.99,True
Oliva Serie V Melanio Churchill Maduro - Box of 10,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-serie-v-melanio-churchill-maduro-box-of-10%2F2048103%2F%23p-183903,Oliva,Serie V Melanio,Ecuadorian Sumatra,Churchill,7.0 x 48.0,10,125.99,True
CAO Gold Corona Connecticut - Box of 20,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcao-gold-corona-connecticut%2F67294%2F%23p-140871,CAO,Gold,Ecuadorian Connecticut,Corona,5.5 x 42.0,20,127.99,True
Ashton Heritage Puro Sol Robusto Habano - Pack of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-heritage-puro-sol-robusto-habano%2F68268%2F%23p-141989,Ashton,Heritage Puro Sol,Ecuadorian Sun Grown,Robusto,5.0 x 50.0,25,128.99,True
Alec Bradley Prensado Churchill Corojo - Pack of 10,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-prensado-churchill-corojo%2F83551%2F%23p-175915,Alec Bradley,Prensado,Honduran Corojo,Churchill,7.0 x 48.0,20,131.99,True
