brand,title,box_qty,price,url
Mark Twain,"Mark Twain The Pen - Box of 20 (6.0"" x 44)",20,85.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmark-twain-the-pen-cigar%2F2053120%2F%23p-2053118
Buffalo Trace,Buffalo Trace Explorers - Pack (50),50,104.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fbuffalo-trace-explorers%2F2050252%2F%23p-2050250
Gurkha,Gurkha Sherpa Black Robusto - Pack of 25,25,67.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fgurkha-sherpa-black-robusto%2F2027492%2F%23p-2027468
Gurkha,Gurkha Sherpa Black Toro - Pack of 25,25,78.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fgurkha-sherpa-black-toro%2F2027493%2F%23p-2027491
Cain,Cain by Oliva Daytona Torpedo Habano - Box of 24,24,148.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-daytona-corona-habano%2F82503%2F%23p-2007019
Cain,Cain by Oliva Robusto Habano - Box of 24,24,155.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-550-habano%2F77956%2F%23p-170584
Cain,Cain by Oliva 'F' Robusto Habano - Box of 24,24,183.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-f-550-habano%2F78066%2F%23p-170687
Cain,Cain by Oliva Nub 460 Habano - Box of 24,24,182.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-nub-460-habano%2F79933%2F%23p-172484
Cain,Cain by Oliva Nub 460 Maduro - Box of 24,24,182.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-nub-460-maduro%2F79934%2F%23p-172486
Cain,Cain Daytona by Oliva Torpedo Habano - Box of 24,24,183.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-daytona-torpedo-habano-box-of-24%2F2049671%2F%23p-175117
Cain,Cain by Oliva Double Toro Maduro - Box of 24,24,217.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-double-toro-maduro-box-of-24%2F2049669%2F%23p-170589
Cain,Cain by Oliva Daytona No. 4 Habano - Box of 24,24,127.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-cain-daytona-no-4-habano-box-of-24%2F2049668%2F%23p-2007018
