retailer,url,name,price,brand,line,vitola,wrapper,ring_gauge,length,availability,platform,tier,brand_source,scraped_at
Fox Cigar,https://foxcigar.com/shop/cigars/rocky-patel/disciple/rocky-patel-disciple-robusto/,Rocky Patel Disciple Robusto,11.65,Rocky Patel,Number 6,Robusto,Unknown,,,In Stock,WooCommerce,1,master_exact,2025-10-26T20:05:13.559193
Fox Cigar,https://foxcigar.com/shop/kits/the-denim-flare-kit/,The Denim Flare Kit,46.83,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:15.857623
Fox Cigar,https://foxcigar.com/shop/cigars/god-of-fire/god-of-fire-kkp-never-back-down-toro-extra-54/,God of Fire KKP Never Back Down Toro Extra 54,53.95,Unknown,,Toro,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:18.617249
Fox Cigar,https://foxcigar.com/shop/cigars/la-aurora/la-aurora-100-anos-robusto-especiales-maduro/,La Aurora 100 Años Robusto Especiales Maduro,17.75,Unknown,,Robusto,Maduro,,,In Stock,WooCommerce,1,none,2025-10-26T20:05:21.540885
Fox Cigar,https://foxcigar.com/shop/cigars/montecristo/montecristo-1935-anniversary-nicaragua-toro/,Montecristo 1935 Anniversary Nicaragua Toro,20.64,Montecristo,1935 Anniversary Nicaragua,Toro,Unknown,,,Out of Stock,WooCommerce,1,master_combined,2025-10-26T20:05:23.943919
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/opus-x/a-father-and-his-son-sampler/,A Father And His Son Sampler,379.99,My Father,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,fuzzy_priority,2025-10-26T20:05:25.799460
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/montesino-robusto-natural/,Montesino Robusto Natural,5.9,Montecristo,,Robusto,Natural,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:05:28.206264
Fox Cigar,https://foxcigar.com/shop/cigars/j-c-newman/brick-house-toro/,Brick House Toro,8.35,Unknown,,Toro,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:30.768178
Fox Cigar,https://foxcigar.com/shop/accessories/fox-vertigo-hammer-lighter-black/,Fox Vertigo Hammer Lighter- Black,19.99,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:05:33.198150
Fox Cigar,https://foxcigar.com/shop/cigars/casa-carrillo/e-p-carrillo-encore-celestial-bundle/,Perez-Carrillo Encore Celestial Bundle,360.0,Unknown,,Unknown,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:05:35.845869
Fox Cigar,https://foxcigar.com/shop/cigars/davidoff/davidoff-millennium-petit-corona/,Davidoff Millennium Petit Corona,18.7,Unknown,,Petit Corona,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:38.486443
Fox Cigar,https://foxcigar.com/shop/accessories/god-of-fire-never-back-down-retro-gold-on-black-lighter/,God of Fire “Never Back Down” (Retro) Gold on Black Lighter,99.0,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:40.925255
